2026-02-11 12:16:56 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:16:56 | INFO | Opened image 1/2: D:\Users\Ekateryna\Desktop\Mag_projects\data\raw_images\береза 16м.JPG
2026-02-11 12:16:59 | INFO | Center set: (2731, 1613)
2026-02-11 12:17:02 | INFO | Radii set: a=521.1 b=364.8
2026-02-11 12:17:02 | INFO | Theta: -5.0 deg
2026-02-11 12:17:03 | INFO | Theta: -10.0 deg
2026-02-11 12:17:03 | INFO | Theta: -15.0 deg
2026-02-11 12:17:03 | INFO | Theta: -20.0 deg
2026-02-11 12:17:03 | INFO | Theta: -25.0 deg
2026-02-11 12:17:03 | INFO | Theta: -30.0 deg
2026-02-11 12:17:03 | INFO | Theta: -35.0 deg
2026-02-11 12:17:03 | INFO | Theta: -40.0 deg
2026-02-11 12:17:04 | INFO | Theta: -45.0 deg
2026-02-11 12:17:04 | INFO | Theta: -50.0 deg
2026-02-11 12:17:04 | INFO | Theta: -55.0 deg
2026-02-11 12:17:04 | INFO | Theta: -60.0 deg
2026-02-11 12:17:04 | INFO | Theta: -65.0 deg
2026-02-11 12:17:04 | INFO | Theta: -70.0 deg
2026-02-11 12:17:04 | INFO | Theta: -75.0 deg
2026-02-11 12:17:08 | INFO | SAVE pressed
2026-02-11 12:17:08 | INFO | Saved annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:17:14 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:17:14 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:19:28 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:19:28 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:19:45 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:21:16 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:21:16 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:21:16 | INFO | Dedup annotations done. Removed 2 rows.
2026-02-11 12:21:22 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:21:22 | INFO | Database ready: data\db\crowns.sqlite3
